CPU_Threads,GPU_Config,Serial_Time_ms,Parallel_Time_ms,Speedup,MSE,RMSE,PSNR_dB
1,CPU_ONLY,178.73,209.74,0.85,0.000000,0.000000,inf
2,CPU_ONLY,173.88,125.46,1.39,0.003068,0.055385,29.90
4,CPU_ONLY,176.03,64.65,2.72,0.004488,0.066994,28.25
8,CPU_ONLY,178.21,44.02,4.05,0.005237,0.072370,27.58
N/A,1x1,179.22,74.98,2.39,0.021245,0.145756,21.50
N/A,2x2,179.95,30.67,5.87,0.021245,0.145756,21.50
N/A,4x4,178.73,15.97,11.19,0.021245,0.145756,21.50
N/A,8x8,179.60,15.31,11.73,0.021245,0.145756,21.50
N/A,16x16,188.27,15.43,12.20,0.021245,0.145756,21.50
N/A,16x32,164.20,15.49,10.60,0.021245,0.145756,21.50
N/A,32x16,163.02,15.31,10.65,0.021245,0.145756,21.50
N/A,8x16,164.08,15.24,10.77,0.021245,0.145756,21.50
N/A,16x8,164.43,15.20,10.82,0.021245,0.145756,21.50
N/A,4x16,165.35,15.38,10.75,0.021245,0.145756,21.50
N/A,16x4,166.05,15.23,10.90,0.021245,0.145756,21.50
N/A,32x8,166.12,15.15,10.96,0.021245,0.145756,21.50
N/A,8x32,168.37,15.30,11.01,0.021245,0.145756,21.50
N/A,32x4,167.60,15.17,11.05,0.021245,0.145756,21.50
N/A,4x32,169.63,15.42,11.00,0.021245,0.145756,21.50
1,1x1,169.45,92.78,1.83,0.137567,0.370901,13.39
1,2x2,171.50,71.29,2.41,0.137567,0.370901,13.39
1,4x4,170.94,64.42,2.65,0.137567,0.370901,13.39
1,8x8,172.90,67.69,2.55,0.137567,0.370901,13.39
1,16x16,188.09,65.48,2.87,0.137567,0.370901,13.39
1,16x32,180.16,66.36,2.71,0.137567,0.370901,13.39
1,32x16,181.35,65.38,2.77,0.137567,0.370901,13.39
1,8x16,176.10,64.96,2.71,0.137567,0.370901,13.39
1,16x8,175.60,64.90,2.71,0.137567,0.370901,13.39
1,4x16,175.59,64.97,2.70,0.137567,0.370901,13.39
1,16x4,177.07,65.38,2.71,0.137567,0.370901,13.39
1,32x8,176.84,64.99,2.72,0.137567,0.370901,13.39
1,8x32,177.38,67.67,2.62,0.137567,0.370901,13.39
1,32x4,199.15,72.28,2.76,0.137567,0.370901,13.39
1,4x32,198.75,72.01,2.76,0.137567,0.370901,13.39
2,1x1,197.73,80.03,2.47,0.137586,0.370926,13.39
2,2x2,190.95,53.81,3.55,0.137592,0.370933,13.39
2,4x4,200.70,48.75,4.12,0.137580,0.370918,13.39
2,8x8,202.62,47.97,4.22,0.137583,0.370922,13.39
2,16x16,197.51,46.86,4.22,0.137584,0.370923,13.39
2,16x32,197.04,47.15,4.18,0.137588,0.370929,13.39
2,32x16,198.42,47.52,4.18,0.137588,0.370929,13.39
2,8x16,196.73,47.50,4.14,0.137588,0.370928,13.39
2,16x8,197.59,47.32,4.18,0.137588,0.370929,13.39
2,4x16,198.40,47.42,4.18,0.137592,0.370934,13.39
2,16x4,200.37,47.72,4.20,0.137592,0.370933,13.39
2,32x8,194.73,47.33,4.11,0.137589,0.370929,13.39
2,8x32,193.59,48.61,3.98,0.137584,0.370923,13.39
2,32x4,195.45,48.55,4.03,0.137586,0.370926,13.39
2,4x32,195.86,47.35,4.14,0.137586,0.370926,13.39
4,1x1,195.57,59.46,3.29,0.137597,0.370941,13.39
4,2x2,198.87,38.23,5.20,0.137600,0.370945,13.39
4,4x4,198.02,31.71,6.24,0.137595,0.370938,13.39
4,8x8,197.45,30.78,6.42,0.137604,0.370950,13.38
4,16x16,200.82,30.78,6.52,0.137598,0.370943,13.39
4,16x32,200.18,31.64,6.33,0.137595,0.370937,13.39
4,32x16,200.01,31.20,6.41,0.137597,0.370940,13.39
4,8x16,200.22,30.94,6.47,0.137601,0.370946,13.38
4,16x8,209.22,31.15,6.72,0.137598,0.370943,13.39
4,4x16,200.65,31.46,6.38,0.137598,0.370942,13.39
4,16x4,201.93,31.55,6.40,0.137596,0.370940,13.39
4,32x8,202.65,31.68,6.40,0.137601,0.370945,13.39
4,8x32,199.09,31.01,6.42,0.137605,0.370952,13.38
4,32x4,198.76,30.09,6.61,0.137597,0.370940,13.39
4,4x32,200.60,31.59,6.35,0.137598,0.370942,13.39
8,1x1,203.77,53.53,3.81,0.137598,0.370942,13.39
8,2x2,201.25,32.26,6.24,0.137595,0.370938,13.39
8,4x4,203.84,23.99,8.50,0.137594,0.370937,13.39
8,8x8,202.73,23.42,8.66,0.137595,0.370938,13.39
8,16x16,203.88,23.13,8.81,0.137599,0.370943,13.39
8,16x32,205.09,23.29,8.81,0.137608,0.370955,13.38
8,32x16,203.86,24.16,8.44,0.137595,0.370938,13.39
8,8x16,206.06,23.15,8.90,0.137599,0.370943,13.39
8,16x8,204.85,23.20,8.83,0.137599,0.370944,13.39
8,4x16,204.56,23.96,8.54,0.137602,0.370947,13.38
8,16x4,204.88,23.60,8.68,0.137602,0.370948,13.38
8,32x8,204.29,23.21,8.80,0.137601,0.370946,13.39
8,8x32,203.99,23.59,8.65,0.137598,0.370942,13.39
8,32x4,203.87,23.67,8.61,0.137602,0.370947,13.38
8,4x32,206.02,23.44,8.79,0.137596,0.370939,13.39
